"diseaseId","diseaseName","diseaseType","diseaseClass","diseaseSemanticType","autism_subtype_broad","n_genes","is_autism"
"C0019209","Hepatomegaly","phenotype","C06;C23","Finding","Not Autism",43,FALSE
"C0036341","Schizophrenia","disease","F03","Mental or Behavioral Dysfunction","Not Autism",1022,FALSE
"C0002395","Alzheimer's Disease","disease","C10;F03","Disease or Syndrome","Not Autism",84,FALSE
"C0007102","Malignant tumor of colon","disease","C04;C06","Neoplastic Process","Not Autism",150,FALSE
"C0009375","Colonic Neoplasms","group","C04;C06","Neoplastic Process","Not Autism",143,FALSE
"C0011265","Presenile dementia","disease","C10;F03","Mental or Behavioral Dysfunction","Not Autism",84,FALSE
"C0011570","Mental Depression","disease","F01","Mental or Behavioral Dysfunction","Not Autism",258,FALSE
"C0011581","Depressive disorder","disease","F03","Mental or Behavioral Dysfunction","Not Autism",292,FALSE
"C0019202","Hepatolenticular Degeneration","disease","C06;C10;C16;C18","Disease or Syndrome","Not Autism",24,FALSE
"C0022660","Kidney Failure, Acute","disease","C12;C13","Disease or Syndrome","Not Autism",86,FALSE
"C0023890","Liver Cirrhosis","disease","C06","Disease or Syndrome","Not Autism",97,FALSE
"C0023893","Liver Cirrhosis, Experimental","disease","C06","Experimental Model of Disease","Not Autism",770,FALSE
"C0024115","Lung diseases","group","C08","Disease or Syndrome","Not Autism",50,FALSE
"C0024121","Lung Neoplasms","group","C04;C08","Neoplastic Process","Not Autism",263,FALSE
"C0027726","Nephrotic Syndrome","group","C12;C13","Disease or Syndrome","Not Autism",21,FALSE
"C0206669","Hepatocellular Adenoma","disease","C04;C06","Neoplastic Process","Not Autism",9,FALSE
"C0239946","Fibrosis, Liver","disease","C06","Disease or Syndrome","Not Autism",97,FALSE
"C0242379","Malignant neoplasm of lung","disease","C04;C08","Neoplastic Process","Not Autism",264,FALSE
"C0276496","Familial Alzheimer Disease (FAD)","disease","C10;F03","Disease or Syndrome","Not Autism",85,FALSE
"C0494463","Alzheimer Disease, Late Onset","disease","C10;F03","Mental or Behavioral Dysfunction","Not Autism",84,FALSE
"C0546126","Acute Confusional Senile Dementia","disease","C10;F03","Mental or Behavioral Dysfunction","Not Autism",84,FALSE
"C0750900","Alzheimer's Disease, Focal Onset","disease","C10;F03","Mental or Behavioral Dysfunction","Not Autism",84,FALSE
"C0750901","Alzheimer Disease, Early Onset","disease","C10;F03","Disease or Syndrome","Not Autism",84,FALSE
"C1527352","Hepatic Form of Wilson Disease","disease","C06;C10;C16;C18","Disease or Syndrome","Not Autism",24,FALSE
"C1565662","Acute Kidney Insufficiency","disease","C12;C13","Disease or Syndrome","Not Autism",86,FALSE
"C2239176","Liver carcinoma","disease","C04;C06","Neoplastic Process","Not Autism",245,FALSE
"C2609414","Acute kidney injury","disease","C12;C13","Injury or Poisoning","Not Autism",86,FALSE
"C3279661","alpha-2-Macroglobulin Deficiency","disease","C08","Disease or Syndrome","Not Autism",1,FALSE
"C0001973","Alcoholic Intoxication, Chronic","disease","C25;F03","Mental or Behavioral Dysfunction","Not Autism",287,FALSE
"C0004403","Autosome Abnormalities","group","C23","Cell or Molecular Dysfunction","Not Autism",16,FALSE
"C0005684","Malignant neoplasm of urinary bladder","disease","C04;C12;C13","Neoplastic Process","Not Autism",124,FALSE
"C0005695","Bladder Neoplasm","group","C04;C12;C13","Neoplastic Process","Not Autism",123,FALSE
"C0006826","Malignant Neoplasms","group","C04","Neoplastic Process","Not Autism",160,FALSE
"C0008625","Chromosome Aberrations","group","C23","Cell or Molecular Dysfunction","Not Autism",16,FALSE
"C0013221","Drug toxicity","group","C25","Injury or Poisoning","Not Autism",80,FALSE
"C0027651","Neoplasms","group","C04","Neoplastic Process","Not Autism",65,FALSE
"C0028796","Dermatitis, Occupational","disease","C17;C24","Disease or Syndrome","Not Autism",4,FALSE
"C0033578","Prostatic Neoplasms","group","C04;C12","Neoplastic Process","Not Autism",601,FALSE
"C0041755","Adverse reaction to drug","group","C25","Pathologic Function","Not Autism",80,FALSE
"C0086457","Industrial Dermatosis","disease","C17;C24","Disease or Syndrome","Not Autism",4,FALSE
"C0086692","Benign Neoplasm","group","C04","Neoplastic Process","Not Autism",65,FALSE
"C0376358","Malignant neoplasm of prostate","disease","C04;C12","Neoplastic Process","Not Autism",601,FALSE
"C0006142","Malignant neoplasm of breast","disease","C04;C17","Neoplastic Process","Not Autism",1025,FALSE
"C0010054","Coronary Arteriosclerosis","disease","C14","Disease or Syndrome","Not Autism",65,FALSE
"C0011999","Diastematomyelia","disease","C10;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0013182","Drug Allergy","phenotype","C20;C25","Pathologic Function","Not Autism",35,FALSE
"C0019193","Hepatitis, Toxic","disease","C06;C25","Injury or Poisoning","Not Autism",315,FALSE
"C0023452","Childhood Acute Lymphoblastic Leukemia","disease","C04;C15;C20","Neoplastic Process","Not Autism",49,FALSE
"C0023453","Leukemia, Lymphocytic, Acute, L2","disease","C04;C15;C20","Neoplastic Process","Not Autism",49,FALSE
"C0023530","Leukopenia","disease","C15","Disease or Syndrome","Not Autism",8,FALSE
"C0023903","Liver neoplasms","group","C04;C06","Neoplastic Process","Not Autism",136,FALSE
"C0027794","Neural Tube Defects","group","C10;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0027806","Neurenteric Cyst","disease","C10;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0080218","Tethered Cord Syndrome","disease","C10;C16","Disease or Syndrome","Not Autism",28,FALSE
"C0152234","Iniencephaly","disease","C10;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0152426","Craniorachischisis","disease","C10;C16","Congenital Abnormality","Not Autism",29,FALSE
"C0266453","Exencephaly","disease","C10;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0344479","Spinal Cord Myelodysplasia","disease","C10;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0345904","Malignant neoplasm of liver","disease","C04;C06","Neoplastic Process","Not Autism",141,FALSE
"C0345967","Malignant mesothelioma","disease","C04;C08","Neoplastic Process","Not Autism",109,FALSE
"C0678222","Breast Carcinoma","disease","C04;C17","Neoplastic Process","Not Autism",487,FALSE
"C0702169","Acrania","disease","C10;C16","Congenital Abnormality","Not Autism",28,FALSE
"C0860207","Drug-Induced Liver Disease","disease","C06;C25","Disease or Syndrome","Not Autism",315,FALSE
"C1257931","Mammary Neoplasms, Human","group","C04;C17","Neoplastic Process","Not Autism",474,FALSE
"C1262760","Hepatitis, Drug-Induced","disease","C06;C25","Disease or Syndrome","Not Autism",315,FALSE
"C1458155","Mammary Neoplasms","group","C04;C17","Neoplastic Process","Not Autism",476,FALSE
"C1956346","Coronary Artery Disease","disease","C14","Disease or Syndrome","Not Autism",65,FALSE
"C1961102","Precursor Cell Lymphoblastic Leukemia Lymphoma","disease","C04;C15;C20","Neoplastic Process","Not Autism",58,FALSE
"C3658290","Drug-Induced Acute Liver Injury","disease","C06;C25","Disease or Syndrome","Not Autism",315,FALSE
"C4277682","Chemical and Drug Induced Liver Injury","disease","C06;C25","Disease or Syndrome","Not Autism",315,FALSE
"C4279912","Chemically-Induced Liver Toxicity","disease","C06;C25","Disease or Syndrome","Not Autism",315,FALSE
"C0023794","Lipoidosis","disease","C16;C18","Disease or Syndrome","Not Autism",19,FALSE
"C0033975","Psychotic Disorders","group","F03","Mental or Behavioral Dysfunction","Not Autism",117,FALSE
"C0349204","Nonorganic psychosis","disease","","Mental or Behavioral Dysfunction","Not Autism",81,FALSE
"C0005587","Depression, Bipolar","disease","F03","Mental or Behavioral Dysfunction","Not Autism",53,FALSE
"C0393770","Delayed Sleep Phase Syndrome","disease","C10;C24;F03","Disease or Syndrome","Not Autism",5,FALSE
"C0494410","Nonorganic Sleep Wake Cycle Disorders","group","C10;C24;F03","Mental or Behavioral Dysfunction","Not Autism",5,FALSE
"C0751758","Advanced Sleep Phase Syndrome","disease","C10;C24;F03","Disease or Syndrome","Not Autism",5,FALSE
"C0751759","Non-24 Hour Sleep-Wake Disorder","disease","C10;C24;F03","Mental or Behavioral Dysfunction","Not Autism",5,FALSE
"C0751760","Shift-Work Sleep Disorder","disease","C10;C24;F03","Mental or Behavioral Dysfunction","Not Autism",5,FALSE
"C0877792","Sleep Disorders, Circadian Rhythm","group","C10;C24;F03","Pathologic Function","Not Autism",5,FALSE
"C0004138","Ataxias, Hereditary","group","C10;C16","Disease or Syndrome","Not Autism",155,FALSE
"C0007959","Charcot-Marie-Tooth Disease","disease","C10;C16","Disease or Syndrome","Not Autism",200,FALSE
"C0543888","Epileptic encephalopathy","disease","","Disease or Syndrome","Not Autism",449,FALSE
"C2750090","Charcot-Marie-Tooth Disease, Axonal, Type 2n","disease","C10;C16","Disease or Syndrome","Not Autism",1,FALSE
"C3714756","Intellectual Disability","group","C10;C23;F01;F03","Mental or Behavioral Dysfunction","Not Autism",2037,FALSE
"C4225361","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29","disease","","Disease or Syndrome","Not Autism",1,FALSE
"A00","Autism Spectrum Disorder","disease","F03","Mental or Behavioral Dysfunction","Polygenic Autism",292,TRUE
"C0017168","Gastroesophageal reflux disease","disease","C06","Disease or Syndrome","Not Autism",4,FALSE
"C0022333","Jacksonian Seizure","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0023380","Lethargy","phenotype","C10;C23;F01","Sign or Symptom","Not Autism",4,FALSE
"C0026825","Flaccid Muscle Tone","phenotype","C10;C23","Sign or Symptom","Not Autism",6,FALSE
"C0026827","Muscle hypotonia","phenotype","C10;C23","Finding","Not Autism",6,FALSE
"C0033922","Psychomotor Disorders","group","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",7,FALSE
"C0034933","Reflex, Abnormal","phenotype","C10;C23","Sign or Symptom","Not Autism",5,FALSE
"C0036572","Seizures","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C0149958","Complex partial seizures","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0151572","Reflex, Corneal, Decreased","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0151888","Hyporeflexia","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0151889","Hyperreflexia","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0234146","Absent reflex","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0234533","Generalized seizures","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0234535","Seizures, Clonic","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0234784","Reflex, Gag, Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0241772","Reflex, Deep Tendon, Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0270824","Visual seizure","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0270844","Tonic Seizures","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C0270846","Epileptic drop attack","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0277839","Hoffman's Reflex","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0277850","Reflex, Pendular","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0278211","Reflex, Corneal, Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0342708","Gamma aminobutyric acid transaminase deficiency","disease","C16;C18","Disease or Syndrome","Not Autism",1,FALSE
"C0422850","Seizures, Somatosensory","phenotype","C10;C23","Pathologic Function","Not Autism",99,FALSE
"C0422852","Seizures, Auditory","phenotype","C10;C23","Pathologic Function","Not Autism",99,FALSE
"C0422853","Olfactory seizure","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0422854","Gustatory seizure","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C0422855","Vertiginous seizure","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0427201","Floppy Muscles","phenotype","C10;C23","Sign or Symptom","Not Autism",6,FALSE
"C0427202","Muscle Tone Atonic","phenotype","C10;C23","Sign or Symptom","Not Autism",6,FALSE
"C0494475","Tonic - clonic seizures","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0522345","Reflex, Acoustic, Abnormal","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0558845","Reflex, Ankle, Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0558846","Reflex, Triceps, Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0558847","Reflex, Biceps, Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0576612","Reflex, Anal, Absent","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0679465","Psychomotor Impairment","phenotype","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",7,FALSE
"C0743002","Abnormal Deep Tendon Reflex","phenotype","C10;C23","Finding","Not Autism",5,FALSE
"C0751056","Non-epileptic convulsion","phenotype","C10;C23","Sign or Symptom","Not Autism",99,FALSE
"C0751110","Single Seizure","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0751123","Atonic Absence Seizures","disease","C10;C23","Disease or Syndrome","Not Autism",99,FALSE
"C0751330","Unilateral Hypotonia","phenotype","C10;C23","Sign or Symptom","Not Autism",6,FALSE
"C0751456","Developmental Psychomotor Disorders","disease","C10;C23;F01","Mental or Behavioral Dysfunction","Not Autism",7,FALSE
