	diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	autism_subtype_broad	n_genes	is_autism	Degree_Centrality	Betweenness_Centrality	Degree
0	C0019209	Hepatomegaly	phenotype	C06;C23	Finding	Not Autism	43	False	0.0029083858458555504	0.00013596785881131335	30
1	C0036341	Schizophrenia	disease	F03	Mental or Behavioral Dysfunction	Not Autism	1022	False	0.04575860397479399	0.004061532865805671	472
2	C0002395	Alzheimer's Disease	disease	C10;F03	Disease or Syndrome	Not Autism	84	False	0.03364032961706253	0.0012129927134436839	347
3	C0007102	Malignant tumor of colon	disease	C04;C06	Neoplastic Process	Not Autism	150	False	0.046049442559379546	0.002123215103732708	475
4	C0009375	Colonic Neoplasms	group	C04;C06	Neoplastic Process	Not Autism	143	False	0.044983034415899174	0.0017834199909358614	464
5	C0011265	Presenile dementia	disease	C10;F03	Mental or Behavioral Dysfunction	Not Autism	84	False	0.03354338342220068	0.0012050244430329069	346
6	C0011570	Mental Depression	disease	F01	Mental or Behavioral Dysfunction	Not Autism	258	False	0.052253999030538054	0.004396458358316476	539
7	C0011581	Depressive disorder	disease	F03	Mental or Behavioral Dysfunction	Not Autism	292	False	0.06204556471158507	0.006877764946294414	640
8	C0019202	Hepatolenticular Degeneration	disease	C06;C10;C16;C18	Disease or Syndrome	Not Autism	24	False	0.013572467280659235	5.5579088355956514e-05	140
9	C0022660	Kidney Failure, Acute	disease	C12;C13	Disease or Syndrome	Not Autism	86	False	0.04643722733882695	0.002161515559587307	479
10	C0023890	Liver Cirrhosis	disease	C06	Disease or Syndrome	Not Autism	97	False	0.02656325739214736	0.0025935811028872453	274
11	C0023893	Liver Cirrhosis, Experimental	disease	C06	Experimental Model of Disease	Not Autism	770	False	0.02559379544352884	0.000908652158902914	264
12	C0024115	Lung diseases	group	C08	Disease or Syndrome	Not Autism	50	False	0.016480853126514785	0.0002844016150656934	170
13	C0024121	Lung Neoplasms	group	C04;C08	Neoplastic Process	Not Autism	263	False	0.055841008240426565	0.005289110799566898	576
14	C0027726	Nephrotic Syndrome	group	C12;C13	Disease or Syndrome	Not Autism	21	False	0.007658749394086282	0.0007245373294274059	79
15	C0206669	Hepatocellular Adenoma	disease	C04;C06	Neoplastic Process	Not Autism	9	False	0.005719825496849249	0.0009313877270361907	59
16	C0239946	Fibrosis, Liver	disease	C06	Disease or Syndrome	Not Autism	97	False	0.026466311197285507	0.002556732624966784	273
17	C0242379	Malignant neoplasm of lung	disease	C04;C08	Neoplastic Process	Not Autism	264	False	0.05613184682501212	0.005357401692992595	579
18	C0276496	Familial Alzheimer Disease (FAD)	disease	C10;F03	Disease or Syndrome	Not Autism	85	False	0.03354338342220068	0.0012050244430329069	346
19	C0494463	Alzheimer Disease, Late Onset	disease	C10;F03	Mental or Behavioral Dysfunction	Not Autism	84	False	0.03354338342220068	0.0012050244430329069	346
